YEAR,PUMFID,PERSONID,FWEIGHT,PROV,USZGAP,MBMREGP,AGEGP,SEX,MARST,CMPHI,HLEV2G,STUDTFP,FLLPRTP,FWORKED,SCSUM,ALFST,WKSEM,WKSUEM,WKSNLF,USHRWK,ALHRWK,FPDWK,FSEMP,FUNFW,IMMSTP,YRIMMGP,ALIMO,ALIP,ATINC,CAPGN,CCAR,CHFED,CHPRV,CHTXB,CPQPP,CQPC,EARNG,EIPR,FDITX,FMSE,GI,GSTXC,GTR,INCTX,INVA,MAJRI,MTINC,NFMSE,OAS,OASGI,OGOVTR,OTHINC,OTTXM,PEN,PENGIV,PENREC,PHPR,PRPEN,PVITX,PVTXC,RPPC,RSPWI,SAPIS,SEMP,TTINC,UCCB,UDPD,UIBEN,WGSAL,WKRCP,EFID,EFSIZE,EFTYP,EFMJIE,EFMJIEH,EFRMJIG,EFAGOFMP,EFAGYFMP,EFMJSI,EFALIMO,EFALIP,EFATINC,EFCAPGN,EFCCAR,EFCHFED,EFCHPRV,EFCHTXB,EFCPQPP,EFCQPC,EFEARNG,EFEIPR,EFFDITX,EFFMSE,EFGI,EFGSTXC,EFGTR,EFINCTX,EFINVA,EFMBSCIN,EFMTINC,EFNFMSE,EFOAS,EFOASGI,EFOGOVTR,EFOTHINC,EFOTTXM,EFPEN,EFPENGIV,EFPENREC,EFPHPR,EFPRPEN,EFPVITX,EFPVTXC,EFRPPC,EFRSPWI,EFSAPIS,EFSEMP,EFTTINC,EFUCCB,EFUDPD,EFUIBEN,EFWGSAL,EFWKRCP,CFID,CFSIZE,CFCOMP,CFMJIE,CFMJIEH,CFRMJIG,CFAGOFMP,CFAGYFMP,CFMJSI,CFALIMO,CFALIP,CFATINC,CFCAPGN,CFCCAR,CFCHFED,CFCHPRV,CFCHTXB,CFCPQPP,CFCQPC,CFEARNG,CFEIPR,CFFDITX,CFFMSE,CFGI,CFGSTXC,CFGTR,CFINCTX,CFINVA,CFMTINC,CFNFMSE,CFOAS,CFOASGI,CFOGOVTR,CFOTHINC,CFOTTXM,CFPEN,CFPENGIV,CFPENREC,CFPHPR,CFPRPEN,CFPVITX,CFPVTXC,CFRPPC,CFRSPWI,CFSAPIS,CFSEMP,CFTTINC,CFUCCB,CFUDPD,CFUIBEN,CFWGSAL,CFWKRCP,HHSIZE,HHCOMP,HHMJIE,LICODA,LICOFA,LICODB,LICOFB,LIMSDA,LIMSFA,MBSCD,MBSCF,DWLTYP,DWTENR,REPA,SUIT,MORTG,MORTGM,CONDMP,RENTM,VERDATE
2015,2151,"        215101",245.4825,12,07,07,06,1,06,1,3,2,6,1,11,01,52,0,0,30.0,1560,1,2,2,6,6,0,0,19285,0,0,0,0,0,0,825,19500,425,250,0,0,450,675,890,0,02,19500,0,0,0,0,0,0,0,0,0,0,0,640,225,0,0,0,0,20175,0,225,0,19500,0,"        2151A",3,23,2,1,3,13,06,02,0,0,145815,1150,0,0,0,0,0,5075,191500,2100,28930,0,0,450,4475,50760,575,134357,192100,0,0,0,0,25,25,0,0,0,0,0,21830,225,2900,0,0,0,196575,0,4200,3800,191500,0,"        2151A01",3,04,2,1,3,13,06,02,0,0,145815,1150,0,0,0,0,0,5075,191500,2100,28930,0,0,450,4475,50760,575,192100,0,0,0,0,25,25,0,0,0,0,0,21830,225,2900,0,0,0,196575,0,4200,3800,191500,0,3,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,12OCT2017
2015,2151,"        215102",245.4825,12,07,07,11,2,01,1,4,2,6,1,11,01,52,0,0,35.0,1820,1,2,2,6,6,0,0,31920,0,0,0,0,0,0,1650,37000,725,2820,0,0,0,0,5080,0,02,37000,0,0,0,0,0,0,0,0,0,0,0,2260,0,2900,0,0,0,37000,0,475,0,37000,0,"        2151A",3,23,2,1,2,13,06,02,0,0,145815,1150,0,0,0,0,0,5075,191500,2100,28930,0,0,450,4475,50760,575,134357,192100,0,0,0,0,25,25,0,0,0,0,0,21830,225,2900,0,0,0,196575,0,4200,3800,191500,0,"        2151A01",3,04,2,1,2,13,06,02,0,0,145815,1150,0,0,0,0,0,5075,191500,2100,28930,0,0,450,4475,50760,575,192100,0,0,0,0,25,25,0,0,0,0,0,21830,225,2900,0,0,0,196575,0,4200,3800,191500,0,3,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,12OCT2017
2015,2151,"        215103",245.4825,12,07,07,13,1,01,1,3,6,6,1,21,07,28,18,6,50.0,1400,1,2,2,6,6,0,0,94610,1150,0,0,0,0,0,2600,135000,950,25860,0,0,0,3800,44790,575,02,135600,0,0,0,0,25,25,0,0,0,0,0,18930,0,0,0,0,0,139400,0,3500,3800,135000,0,"        2151A",3,23,1,1,1,13,06,02,0,0,145815,1150,0,0,0,0,0,5075,191500,2100,28930,0,0,450,4475,50760,575,134357,192100,0,0,0,0,25,25,0,0,0,0,0,21830,225,2900,0,0,0,196575,0,4200,3800,191500,0,"        2151A01",3,04,1,1,1,13,06,02,0,0,145815,1150,0,0,0,0,0,5075,191500,2100,28930,0,0,450,4475,50760,575,192100,0,0,0,0,25,25,0,0,0,0,0,21830,225,2900,0,0,0,196575,0,4200,3800,191500,0,3,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,12OCT2017
2015,2171,"        217101",166.6681,12,07,07,16,2,05,2,1,6,6,2,30,96,96,96,96,999.6,9996,6,6,6,6,6,0,0,22575,0,0,0,0,0,12000,0,0,0,0,0,2800,475,22250,0,0,04,325,0,6750,9550,0,0,0,325,0,0,0,325,0,225,0,0,0,0,22575,0,0,0,0,0,"        2171A",1,12,1,1,1,16,16,04,0,0,22575,0,0,0,0,0,12000,0,0,0,0,0,2800,475,22250,0,0,24384,325,0,6750,9550,0,0,0,325,0,0,0,325,0,225,0,0,0,0,22575,0,0,0,0,0,"        2171A01",1,01,1,1,1,16,16,04,0,0,22575,0,0,0,0,0,12000,0,0,0,0,0,2800,475,22250,0,0,325,0,6750,9550,0,0,0,325,0,0,0,325,0,225,0,0,0,0,22575,0,0,0,0,0,1,1,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,1,1,2,99999996,99999996,99999996,12OCT2017
2015,2187,"        218701",539.2204,12,07,07,11,2,01,1,4,2,6,1,11,01,52,0,0,37.0,1924,1,2,2,6,6,0,0,54330,0,0,0,0,0,0,2400,67500,925,7290,0,0,0,0,13170,0,02,67500,0,0,0,0,0,0,0,0,0,0,0,5880,0,5500,0,0,0,67500,0,900,0,67500,0,"        2187A",3,23,2,1,2,12,05,02,0,0,167365,0,0,0,0,0,0,5275,213500,2025,28180,0,0,350,675,49960,150,138115,216650,0,0,0,0,3000,3000,0,0,0,0,0,21780,325,19500,0,0,0,217325,0,1875,0,213500,0,"        2187A01",3,04,2,1,2,12,05,02,0,0,167365,0,0,0,0,0,0,5275,213500,2025,28180,0,0,350,675,49960,150,216650,0,0,0,0,3000,3000,0,0,0,0,0,21780,325,19500,0,0,0,217325,0,1875,0,213500,0,3,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,2,1,1,1600,99999996,99999996,12OCT2017
2015,2187,"        218702",539.2204,12,07,07,12,1,01,1,4,6,6,1,11,01,52,0,0,40.0,2080,1,2,2,6,6,0,0,98360,0,0,0,0,0,0,2500,135000,925,20890,0,0,0,0,36790,150,02,135150,0,0,0,0,0,0,0,0,0,0,0,15900,0,14000,0,0,0,135150,0,975,0,135000,0,"        2187A",3,23,1,1,1,12,05,02,0,0,167365,0,0,0,0,0,0,5275,213500,2025,28180,0,0,350,675,49960,150,138115,216650,0,0,0,0,3000,3000,0,0,0,0,0,21780,325,19500,0,0,0,217325,0,1875,0,213500,0,"        2187A01",3,04,1,1,1,12,05,02,0,0,167365,0,0,0,0,0,0,5275,213500,2025,28180,0,0,350,675,49960,150,216650,0,0,0,0,3000,3000,0,0,0,0,0,21780,325,19500,0,0,0,217325,0,1875,0,213500,0,3,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,2,1,1,1600,99999996,99999996,12OCT2017
2015,2187,"        218703",539.2204,12,07,07,05,2,06,1,2,1,1,1,12,01,52,0,0,13.0,676,1,2,2,6,6,0,0,14675,0,0,0,0,0,0,375,11000,175,0,0,0,350,675,0,0,02,14000,0,0,0,0,3000,3000,0,0,0,0,0,0,325,0,0,0,0,14675,0,0,0,11000,0,"        2187A",3,23,2,1,3,12,05,02,0,0,167365,0,0,0,0,0,0,5275,213500,2025,28180,0,0,350,675,49960,150,138115,216650,0,0,0,0,3000,3000,0,0,0,0,0,21780,325,19500,0,0,0,217325,0,1875,0,213500,0,"        2187A01",3,04,2,1,3,12,05,02,0,0,167365,0,0,0,0,0,0,5275,213500,2025,28180,0,0,350,675,49960,150,216650,0,0,0,0,3000,3000,0,0,0,0,0,21780,325,19500,0,0,0,217325,0,1875,0,213500,0,3,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,2,1,1,1600,99999996,99999996,12OCT2017
2015,2258,"        225801",885.6353,12,07,07,08,2,01,1,4,2,6,1,22,04,26,26,0,12.0,312,1,2,2,6,6,0,0,8700,0,0,1500,0,1500,0,0,3000,50,0,0,0,0,5700,0,0,04,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8700,0,0,4200,3000,0,"        2258A",6,22,2,1,2,14,01,02,0,0,101870,0,0,1500,0,1500,0,5250,103000,1425,4670,0,0,1200,8200,9330,0,92820,103000,24000,0,0,775,0,0,0,0,0,0,0,4660,525,0,0,0,24000,111200,0,475,4200,79000,0,"        2258A01",3,04,2,1,2,11,01,02,0,0,48000,0,0,1500,0,1500,0,2050,47000,800,2320,0,0,100,5800,4800,0,47000,0,0,0,0,0,0,0,0,0,0,0,2480,0,0,0,0,0,52800,0,475,4200,47000,0,6,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,2,3,1,6,99999996,99999996,1800,12OCT2017
2015,2258,"        225802",885.6353,12,07,07,11,1,01,1,3,2,6,1,11,01,52,0,0,40.0,2080,1,2,2,6,6,0,0,39300,0,0,0,0,0,0,2050,44000,750,2320,0,0,100,100,4800,0,02,44000,0,0,0,0,0,0,0,0,0,0,0,2480,0,0,0,0,0,44100,0,475,0,44000,0,"        2258A",6,22,1,1,1,14,01,02,0,0,101870,0,0,1500,0,1500,0,5250,103000,1425,4670,0,0,1200,8200,9330,0,92820,103000,24000,0,0,775,0,0,0,0,0,0,0,4660,525,0,0,0,24000,111200,0,475,4200,79000,0,"        2258A01",3,04,1,1,1,11,01,02,0,0,48000,0,0,1500,0,1500,0,2050,47000,800,2320,0,0,100,5800,4800,0,47000,0,0,0,0,0,0,0,0,0,0,0,2480,0,0,0,0,0,52800,0,475,4200,47000,0,6,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,2,3,1,6,99999996,99999996,1800,12OCT2017
2015,2258,"        225803",885.6353,12,07,07,08,1,06,1,4,1,1,1,11,01,52,0,0,40.0,2080,1,2,2,6,6,0,0,28450,0,0,0,0,0,0,1400,32000,625,2350,0,0,475,700,4250,0,02,32000,0,0,0,0,0,0,0,0,0,0,0,1900,225,0,0,0,0,32700,0,0,0,32000,0,"        2258A",6,22,2,1,4,14,01,02,0,0,101870,0,0,1500,0,1500,0,5250,103000,1425,4670,0,0,1200,8200,9330,0,92820,103000,24000,0,0,775,0,0,0,0,0,0,0,4660,525,0,0,0,24000,111200,0,475,4200,79000,0,"        2258A02",3,05,1,2,1,14,08,02,0,0,53870,0,0,0,0,0,0,3200,56000,625,2350,0,0,1100,2400,4530,0,56000,24000,0,0,775,0,0,0,0,0,0,0,2180,525,0,0,0,24000,58400,0,0,0,32000,0,6,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,2,3,1,6,99999996,99999996,1800,12OCT2017
