YEAR,PUMFID,PERSONID,FWEIGHT,PROV,USZGAP,MBMREGP,AGEGP,SEX,MARST,CMPHI,HLEV2G,STUDTFP,FLLPRTP,FWORKED,SCSUM,ALFST,WKSEM,WKSUEM,WKSNLF,USHRWK,ALHRWK,FPDWK,FSEMP,FUNFW,IMMSTP,YRIMMGP,ALIMO,ALIP,ATINC,CAPGN,CCAR,CHFED,CHPRV,CHTXB,CPQPP,CQPC,EARNG,EIPR,FDITX,FMSE,GI,GSTXC,GTR,INCTX,INVA,MAJRI,MTINC,NFMSE,OAS,OASGI,OGOVTR,OTHINC,OTTXM,PEN,PENGIV,PENREC,PHPR,PRPEN,PVITX,PVTXC,RPPC,RSPWI,SAPIS,SEMP,TTINC,UCCB,UDPD,UIBEN,WGSAL,WKRCP,EFID,EFSIZE,EFTYP,EFMJIE,EFMJIEH,EFRMJIG,EFAGOFMP,EFAGYFMP,EFMJSI,EFALIMO,EFALIP,EFATINC,EFCAPGN,EFCCAR,EFCHFED,EFCHPRV,EFCHTXB,EFCPQPP,EFCQPC,EFEARNG,EFEIPR,EFFDITX,EFFMSE,EFGI,EFGSTXC,EFGTR,EFINCTX,EFINVA,EFMBSCIN,EFMTINC,EFNFMSE,EFOAS,EFOASGI,EFOGOVTR,EFOTHINC,EFOTTXM,EFPEN,EFPENGIV,EFPENREC,EFPHPR,EFPRPEN,EFPVITX,EFPVTXC,EFRPPC,EFRSPWI,EFSAPIS,EFSEMP,EFTTINC,EFUCCB,EFUDPD,EFUIBEN,EFWGSAL,EFWKRCP,CFID,CFSIZE,CFCOMP,CFMJIE,CFMJIEH,CFRMJIG,CFAGOFMP,CFAGYFMP,CFMJSI,CFALIMO,CFALIP,CFATINC,CFCAPGN,CFCCAR,CFCHFED,CFCHPRV,CFCHTXB,CFCPQPP,CFCQPC,CFEARNG,CFEIPR,CFFDITX,CFFMSE,CFGI,CFGSTXC,CFGTR,CFINCTX,CFINVA,CFMTINC,CFNFMSE,CFOAS,CFOASGI,CFOGOVTR,CFOTHINC,CFOTTXM,CFPEN,CFPENGIV,CFPENREC,CFPHPR,CFPRPEN,CFPVITX,CFPVTXC,CFRPPC,CFRSPWI,CFSAPIS,CFSEMP,CFTTINC,CFUCCB,CFUDPD,CFUIBEN,CFWGSAL,CFWKRCP,HHSIZE,HHCOMP,HHMJIE,LICODA,LICOFA,LICODB,LICOFB,LIMSDA,LIMSFA,MBSCD,MBSCF,DWLTYP,DWTENR,REPA,SUIT,MORTG,MORTGM,CONDMP,RENTM,CHNEED,VERDATE
2016,2160,"        216001",153.733,12,07,07,16,2,01,2,1,6,6,2,30,96,96,96,96,999.6,9996,6,6,6,6,6,0,0,12300,0,0,0,0,0,2700,0,0,0,0,0,0,0,9700,0,0,04,2600,0,7000,7000,0,0,0,2600,0,0,0,2600,0,0,0,0,0,0,12300,0,0,0,0,0,"        2160A",2,24,2,1,2,16,16,04,0,0,48970,0,0,0,0,0,9450,0,14000,0,4130,0,0,0,40450,8080,0,51350,16600,14000,14000,14000,0,0,0,2600,0,0,0,2600,3950,0,0,0,0,14000,57050,0,25,17000,0,0,"        2160A01",2,03,2,1,2,16,16,04,0,0,48970,0,0,0,0,0,9450,0,14000,0,4130,0,0,0,40450,8080,0,16600,14000,14000,14000,0,0,0,2600,0,0,0,2600,3950,0,0,0,0,14000,57050,0,25,17000,0,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,2," 14JUN2018"
2016,2160,"        216002",153.733,12,07,07,16,1,01,2,1,6,6,1,21,04,40,12,0,40.0,1600,1,2,2,6,6,0,0,36670,0,0,0,0,0,6750,0,14000,0,4130,0,0,0,30750,8080,0,04,14000,14000,7000,7000,0,0,0,0,0,0,0,0,3950,0,0,0,0,14000,44750,0,25,17000,0,0,"        2160A",2,24,1,1,1,16,16,04,0,0,48970,0,0,0,0,0,9450,0,14000,0,4130,0,0,0,40450,8080,0,51350,16600,14000,14000,14000,0,0,0,2600,0,0,0,2600,3950,0,0,0,0,14000,57050,0,25,17000,0,0,"        2160A01",2,03,1,1,1,16,16,04,0,0,48970,0,0,0,0,0,9450,0,14000,0,4130,0,0,0,40450,8080,0,16600,14000,14000,14000,0,0,0,2600,0,0,0,2600,3950,0,0,0,0,14000,57050,0,25,17000,0,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,2," 14JUN2018"
2016,2175,"        217501",181.6775,12,06,06,15,1,01,1,2,6,6,2,30,03,0,0,52,999.6,9996,6,6,6,6,6,0,0,40640,0,0,0,0,0,8250,0,0,0,0,0,0,0,15000,360,0,06,26000,0,6750,6750,0,0,0,13500,12500,0,0,26000,360,0,0,0,0,0,41000,0,0,0,0,0,"        2175A",2,24,1,1,1,16,15,06,0,0,49590,0,0,0,0,0,9950,0,0,0,0,0,0,0,23950,360,0,48490,26000,0,14000,14000,0,0,0,26000,12500,12500,0,26000,360,0,0,0,0,0,49950,0,0,0,0,0,"        2175A01",2,03,1,1,1,16,15,06,0,0,49590,0,0,0,0,0,9950,0,0,0,0,0,0,0,23950,360,0,26000,0,14000,14000,0,0,0,26000,12500,12500,0,26000,360,0,0,0,0,0,49950,0,0,0,0,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,300,99999996,99999996,6," 14JUN2018"
2016,2175,"        217502",181.6775,12,06,06,16,2,01,2,1,6,6,2,30,96,96,96,96,999.6,9996,6,6,6,6,6,0,0,8950,0,0,0,0,0,1700,0,0,0,0,0,0,0,8950,0,0,04,0,0,7250,7250,0,0,0,12500,0,12500,0,0,0,0,0,0,0,0,8950,0,0,0,0,0,"        2175A",2,24,2,1,2,16,15,06,0,0,49590,0,0,0,0,0,9950,0,0,0,0,0,0,0,23950,360,0,48490,26000,0,14000,14000,0,0,0,26000,12500,12500,0,26000,360,0,0,0,0,0,49950,0,0,0,0,0,"        2175A01",2,03,2,1,2,16,15,06,0,0,49590,0,0,0,0,0,9950,0,0,0,0,0,0,0,23950,360,0,26000,0,14000,14000,0,0,0,26000,12500,12500,0,26000,360,0,0,0,0,0,49950,0,0,0,0,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,300,99999996,99999996,6," 14JUN2018"
2016,2180,"        218001",263.4175,12,07,07,10,2,01,1,4,2,6,1,11,01,52,0,0,40.0,2080,1,2,2,6,6,0,0,67595,0,0,0,0,0,0,2500,87500,900,11180,0,0,0,475,20380,0,02,87500,0,0,0,175,0,0,0,0,0,0,0,9200,0,9000,0,0,0,87975,300,0,0,87500,0,"        2180A",4,22,2,1,2,11,03,02,0,0,148265,0,0,0,0,0,0,5100,197500,1850,27490,0,0,0,475,49710,0,123865,197500,0,0,0,175,0,0,0,0,0,0,0,22220,0,17000,0,0,0,197975,300,0,0,197500,0,"        2180A01",4,04,2,1,2,11,03,02,0,0,148265,0,0,0,0,0,0,5100,197500,1850,27490,0,0,0,475,49710,0,197500,0,0,0,175,0,0,0,0,0,0,0,22220,0,17000,0,0,0,197975,300,0,0,197500,0,4,2,2,999.6,2,999.6,2,999.6,2,999.6,2,2,1,3,1,1,2300,99999996,99999996,2," 14JUN2018"
2016,2180,"        218002",263.4175,12,07,07,11,1,01,1,4,2,6,1,11,01,52,0,0,40.0,2080,1,2,2,6,6,0,0,80670,0,0,0,0,0,0,2600,110000,950,16310,0,0,0,0,29330,0,02,110000,0,0,0,0,0,0,0,0,0,0,0,13020,0,8000,0,0,0,110000,0,0,0,110000,0,"        2180A",4,22,1,1,1,11,03,02,0,0,148265,0,0,0,0,0,0,5100,197500,1850,27490,0,0,0,475,49710,0,123865,197500,0,0,0,175,0,0,0,0,0,0,0,22220,0,17000,0,0,0,197975,300,0,0,197500,0,"        2180A01",4,04,1,1,1,11,03,02,0,0,148265,0,0,0,0,0,0,5100,197500,1850,27490,0,0,0,475,49710,0,197500,0,0,0,175,0,0,0,0,0,0,0,22220,0,17000,0,0,0,197975,300,0,0,197500,0,4,2,1,999.6,2,999.6,2,999.6,2,999.6,2,2,1,3,1,1,2300,99999996,99999996,2," 14JUN2018"
2016,2180,"        218003",263.4175,12,07,07,03,1,96,6,6,6,6,6,96,96,96,96,96,999.6,9996,6,6,6,6,6,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,96,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,"        2180A",4,22,2,1,3,11,03,02,0,0,148265,0,0,0,0,0,0,5100,197500,1850,27490,0,0,0,475,49710,0,123865,197500,0,0,0,175,0,0,0,0,0,0,0,22220,0,17000,0,0,0,197975,300,0,0,197500,0,"        2180A01",4,04,2,1,3,11,03,02,0,0,148265,0,0,0,0,0,0,5100,197500,1850,27490,0,0,0,475,49710,0,197500,0,0,0,175,0,0,0,0,0,0,0,22220,0,17000,0,0,0,197975,300,0,0,197500,0,4,2,2,999.6,2,999.6,2,999.6,2,999.6,2,2,1,3,1,1,2300,99999996,99999996,2," 14JUN2018"
2016,2180,"        218004",263.4175,12,07,07,03,1,96,6,6,6,6,6,96,96,96,96,96,999.6,9996,6,6,6,6,6,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,96,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,"        2180A",4,22,2,1,3,11,03,02,0,0,148265,0,0,0,0,0,0,5100,197500,1850,27490,0,0,0,475,49710,0,123865,197500,0,0,0,175,0,0,0,0,0,0,0,22220,0,17000,0,0,0,197975,300,0,0,197500,0,"        2180A01",4,04,2,1,3,11,03,02,0,0,148265,0,0,0,0,0,0,5100,197500,1850,27490,0,0,0,475,49710,0,197500,0,0,0,175,0,0,0,0,0,0,0,22220,0,17000,0,0,0,197975,300,0,0,197500,0,4,2,2,999.6,2,999.6,2,999.6,2,999.6,2,2,1,3,1,1,2300,99999996,99999996,2," 14JUN2018"
2016,2183,"        218301",255.8959,12,06,06,15,2,01,1,3,6,6,1,22,05,28,0,24,10.0,280,1,2,2,6,6,0,0,45500,0,0,0,0,0,5500,25,33000,0,0,0,0,0,12500,0,0,02,33000,0,7000,7000,0,0,0,1450,0,1450,0,0,0,0,0,0,0,0,45500,0,0,0,33000,0,"        2183A",2,24,1,1,1,15,15,02,0,0,74380,0,0,0,0,0,13500,475,46500,0,620,0,0,0,27000,1920,0,72130,49300,0,13500,13500,0,0,0,2750,1500,1450,0,2800,1300,0,0,0,0,0,76300,0,0,0,46500,0,"        2183A01",2,03,1,1,1,15,15,02,0,0,74380,0,0,0,0,0,13500,475,46500,0,620,0,0,0,27000,1920,0,49300,0,13500,13500,0,0,0,2750,1500,1450,0,2800,1300,0,0,0,0,0,76300,0,0,0,46500,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1900,99999996,99999996,6," 14JUN2018"
2016,2183,"        218302",255.8959,12,06,06,15,1,01,1,2,6,6,1,22,05,28,0,24,20.0,560,2,1,2,6,6,0,0,28880,0,0,0,0,0,8000,450,13500,0,620,0,0,0,14500,1920,0,04,16300,0,6500,6500,0,0,0,1300,1500,0,0,2800,1300,0,0,0,0,0,30800,0,0,0,13500,0,"        2183A",2,24,2,1,2,15,15,02,0,0,74380,0,0,0,0,0,13500,475,46500,0,620,0,0,0,27000,1920,0,72130,49300,0,13500,13500,0,0,0,2750,1500,1450,0,2800,1300,0,0,0,0,0,76300,0,0,0,46500,0,"        2183A01",2,03,2,1,2,15,15,02,0,0,74380,0,0,0,0,0,13500,475,46500,0,620,0,0,0,27000,1920,0,49300,0,13500,13500,0,0,0,2750,1500,1450,0,2800,1300,0,0,0,0,0,76300,0,0,0,46500,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1900,99999996,99999996,6," 14JUN2018"
