YEAR,PUMFID,PERSONID,FWEIGHT,PROV,USZGAP,MBMREGP,AGEGP,SEX,MARST,CMPHI,HLEV2G,STUDTFP,FLLPRTP,FWORKED,SCSUM,ALFST,WKSEM,WKSUEM,WKSNLF,USHRWK,ALHRWK,FPDWK,FSEMP,FUNFW,IMMSTP,YRIMMGP,ALIMO,ALIP,ATINC,CAPGN,CCAR,CHFED,CHPRV,CHTXB,CPQPP,CQPC,EARNG,EIPR,FDITX,FMSE,GI,GSTXC,GTR,INCTX,INVA,MAJRI,MTINC,NFMSE,OAS,OASGI,OGOVTR,OTHINC,OTTXM,PEN,PENGIV,PENREC,PHPR,PRPEN,PVITX,PVTXC,RPPC,RSPWI,SAPIS,SEMP,TTINC,UDPD,UIBEN,WGSAL,WKRCP,EFID,EFSIZE,EFTYP,EFMJIE,EFMJIEH,EFRMJIG,EFAGOFMP,EFAGYFMP,EFMJSI,EFALIMO,EFALIP,EFATINC,EFCAPGN,EFCCAR,EFCHFED,EFCHPRV,EFCHTXB,EFCPQPP,EFCQPC,EFEARNG,EFEIPR,EFFDITX,EFFMSE,EFGI,EFGSTXC,EFGTR,EFINCTX,EFINVA,EFMBIN08,EFMTINC,EFNFMSE,EFOAS,EFOASGI,EFOGOVTR,EFOTHINC,EFOTTXM,EFPEN,EFPENGIV,EFPENREC,EFPHPR,EFPRPEN,EFPVITX,EFPVTXC,EFRPPC,EFRSPWI,EFSAPIS,EFSEMP,EFTTINC,EFUDPD,EFUIBEN,EFWGSAL,EFWKRCP,CFID,CFSIZE,CFCOMP,CFMJIE,CFMJIEH,CFRMJIG,CFAGOFMP,CFAGYFMP,CFMJSI,CFALIMO,CFALIP,CFATINC,CFCAPGN,CFCCAR,CFCHFED,CFCHPRV,CFCHTXB,CFCPQPP,CFCQPC,CFEARNG,CFEIPR,CFFDITX,CFFMSE,CFGI,CFGSTXC,CFGTR,CFINCTX,CFINVA,CFMTINC,CFNFMSE,CFOAS,CFOASGI,CFOGOVTR,CFOTHINC,CFOTTXM,CFPEN,CFPENGIV,CFPENREC,CFPHPR,CFPRPEN,CFPVITX,CFPVTXC,CFRPPC,CFRSPWI,CFSAPIS,CFSEMP,CFTTINC,CFUDPD,CFUIBEN,CFWGSAL,CFWKRCP,HHSIZE,HHCOMP,HHMJIE,LICODA,LICOFA,LICODB,LICOFB,LIMSDA,LIMSFA,MBSCD08,MBSCF08,DWLTYP,DWTENR,REPA,SUIT,MORTG,MORTGM,CONDMP,RENTM,CHNEED,VERDATE
2017,2130,"        213001",138.0238,12,05,07,16,1,01,1,3,6,6,2,30,96,96,96,96,999.6,9996,6,6,6,6,6,0,0,69570,25,0,0,0,0,8000,0,0,0,2860,0,0,0,15000,5980,425,06,60550,0,7000,7000,0,125,125,33000,27000,0,0,60000,3120,0,0,0,0,0,75550,0,0,0,0,"        2130A",2,24,1,1,1,16,15,06,0,0,71815,50,0,0,0,0,9850,0,0,0,6460,0,0,0,24100,13410,850,68892,61125,0,14250,14250,0,275,275,77000,27000,44000,0,60000,6950,0,0,0,0,0,85225,0,0,0,0,"        2130A01",2,03,1,1,1,16,15,06,0,0,71815,50,0,0,0,0,9850,0,0,0,6460,0,0,0,24100,13410,850,61125,0,14250,14250,0,275,275,77000,27000,44000,0,60000,6950,0,0,0,0,0,85225,0,0,0,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,2,1,2,99999996,99999996,99999996,6,02JUL2019
2017,2130,"        213002",138.0238,12,05,07,15,2,01,1,3,6,6,2,30,03,0,0,52,999.6,9996,6,6,6,6,6,0,0,2245,25,0,0,0,0,1850,0,0,0,3600,0,0,0,9100,7430,425,04,575,0,7250,7250,0,150,150,44000,0,44000,0,0,3830,0,0,0,0,0,9675,0,0,0,0,"        2130A",2,24,2,1,2,16,15,06,0,0,71815,50,0,0,0,0,9850,0,0,0,6460,0,0,0,24100,13410,850,68892,61125,0,14250,14250,0,275,275,77000,27000,44000,0,60000,6950,0,0,0,0,0,85225,0,0,0,0,"        2130A01",2,03,2,1,2,16,15,06,0,0,71815,50,0,0,0,0,9850,0,0,0,6460,0,0,0,24100,13410,850,61125,0,14250,14250,0,275,275,77000,27000,44000,0,60000,6950,0,0,0,0,0,85225,0,0,0,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,2,1,2,99999996,99999996,99999996,6,02JUL2019
2017,2211,"        221101",141.3741,12,01,06,16,1,99,2,1,6,6,2,30,96,96,96,96,999.6,9996,6,6,6,6,6,0,0,19325,0,0,0,0,0,4700,0,0,0,0,0,7250,400,19325,0,0,04,0,0,6750,14000,0,0,0,0,0,0,0,0,0,225,0,0,0,0,19325,0,0,0,0,"        2211A",1,11,1,1,1,16,16,04,0,0,19325,0,0,0,0,0,4700,0,0,0,0,0,7250,400,19325,0,0,18725,0,0,6750,14000,0,0,0,0,0,0,0,0,0,225,0,0,0,0,19325,0,0,0,0,"        2211A01",1,01,1,1,1,16,16,04,0,0,19325,0,0,0,0,0,4700,0,0,0,0,0,7250,400,19325,0,0,0,0,6750,14000,0,0,0,0,0,0,0,0,0,225,0,0,0,0,19325,0,0,0,0,1,1,1,999.6,2,999.6,2,17.8,1,2.6,1,3,2,3,1,6,99999996,99999996,500,6,02JUL2019
2017,2258,"        225801",235.1719,12,06,08,14,1,04,1,2,6,6,1,21,05,21,0,31,40.0,840,2,1,2,6,6,0,0,68650,325,0,0,0,0,0,3900,43000,0,12630,0,0,0,0,23350,8000,03,92000,43000,0,0,0,0,0,41000,0,0,0,41000,10720,0,0,0,0,43000,92000,0,0,0,0,"        2258A",1,13,1,1,1,14,14,03,0,0,68650,325,0,0,0,0,0,3900,43000,0,12630,0,0,0,0,23350,8000,64525,92000,43000,0,0,0,0,0,41000,0,0,0,41000,10720,0,0,0,0,43000,92000,0,0,0,0,"        2258A01",1,01,1,1,1,14,14,03,0,0,68650,325,0,0,0,0,0,3900,43000,0,12630,0,0,0,0,23350,8000,92000,43000,0,0,0,0,0,41000,0,0,0,41000,10720,0,0,0,0,43000,92000,0,0,0,0,1,1,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,700,99999996,99999996,2,02JUL2019
2017,2260,"        226001",302.9622,12,06,08,07,2,06,1,3,2,6,1,11,01,52,0,0,40.0,2080,1,2,2,6,6,0,0,47520,0,0,0,0,0,0,2600,57500,825,5320,0,0,0,0,9980,0,02,57500,0,0,0,0,0,0,0,0,0,0,0,4660,0,0,0,0,0,57500,1150,0,57500,0,"        2260A",2,44,1,1,1,13,07,02,0,0,76350,0,0,0,0,0,0,3700,82500,1250,8260,0,0,350,9150,15300,0,69950,82500,0,0,0,0,0,0,0,0,0,0,0,7040,50,0,0,0,0,91650,1150,8750,82500,0,"        2260A01",2,09,1,1,1,13,07,02,0,0,76350,0,0,0,0,0,0,3700,82500,1250,8260,0,0,350,9150,15300,0,82500,0,0,0,0,0,0,0,0,0,0,0,7040,50,0,0,0,0,91650,1150,8750,82500,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,800,99999996,99999996,2,02JUL2019
2017,2260,"        226002",302.9622,12,06,08,13,1,04,1,2,6,6,1,21,04,28,24,0,60.0,1680,1,2,2,6,6,0,0,28830,0,0,0,0,0,0,1100,25000,425,2940,0,0,350,9150,5320,0,02,25000,0,0,0,0,0,0,0,0,0,0,0,2380,50,0,0,0,0,34150,0,8750,25000,0,"        2260A",2,44,2,1,4,13,07,02,0,0,76350,0,0,0,0,0,0,3700,82500,1250,8260,0,0,350,9150,15300,0,69950,82500,0,0,0,0,0,0,0,0,0,0,0,7040,50,0,0,0,0,91650,1150,8750,82500,0,"        2260A01",2,09,2,1,4,13,07,02,0,0,76350,0,0,0,0,0,0,3700,82500,1250,8260,0,0,350,9150,15300,0,82500,0,0,0,0,0,0,0,0,0,0,0,7040,50,0,0,0,0,91650,1150,8750,82500,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,800,99999996,99999996,2,02JUL2019
2017,2321,"        232101",212.9346,12,06,08,07,1,02,1,2,2,6,1,21,05,40,0,12,40.0,1600,1,2,2,6,6,0,0,83990,0,0,0,0,0,0,2500,90000,850,3230,0,0,0,0,6010,0,02,90000,0,0,0,0,0,0,0,0,0,0,0,2780,0,8500,0,0,0,90000,0,0,90000,0,"        2321A",2,21,1,1,1,07,07,02,0,0,102660,0,0,0,0,0,0,4050,109500,850,3320,0,0,0,0,6840,0,88910,109500,19500,0,0,0,0,0,0,0,0,0,0,3520,0,8500,0,0,19500,109500,0,0,90000,0,"        2321A01",2,03,1,1,1,07,07,02,0,0,102660,0,0,0,0,0,0,4050,109500,850,3320,0,0,0,0,6840,0,109500,19500,0,0,0,0,0,0,0,0,0,0,3520,0,8500,0,0,19500,109500,0,0,90000,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,3,1,3,1,1,1500,99999996,99999996,2,02JUL2019
2017,2321,"        232102",212.9346,12,06,08,07,2,02,1,4,2,6,1,21,05,42,0,10,40.0,1680,1,2,2,6,6,0,0,18670,0,0,0,0,0,0,1550,19500,0,90,0,0,0,0,830,0,03,19500,19500,0,0,0,0,0,0,0,0,0,0,740,0,0,0,0,19500,19500,0,0,0,0,"        2321A",2,21,2,1,2,07,07,02,0,0,102660,0,0,0,0,0,0,4050,109500,850,3320,0,0,0,0,6840,0,88910,109500,19500,0,0,0,0,0,0,0,0,0,0,3520,0,8500,0,0,19500,109500,0,0,90000,0,"        2321A01",2,03,2,1,2,07,07,02,0,0,102660,0,0,0,0,0,0,4050,109500,850,3320,0,0,0,0,6840,0,109500,19500,0,0,0,0,0,0,0,0,0,0,3520,0,8500,0,0,19500,109500,0,0,90000,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,3,1,3,1,1,1500,99999996,99999996,2,02JUL2019
2017,2325,"        232501",138.2262,12,01,06,16,1,01,1,4,6,6,2,30,96,96,96,96,999.6,9996,6,6,6,6,6,0,0,80340,0,0,0,0,0,6250,0,0,0,4940,0,0,0,13250,9810,1900,06,76900,0,7000,7000,0,0,0,35000,40000,0,0,75000,4870,0,0,0,0,0,90150,0,0,0,0,"        2325A",2,24,1,1,1,16,15,06,0,0,91850,2300,0,0,0,0,11150,0,0,0,5600,0,0,0,25150,12350,3450,88941,79050,0,14000,14000,0,600,600,64000,40000,29000,0,75000,6750,0,0,0,0,0,104200,0,0,0,0,"        2325A01",2,03,1,1,1,16,15,06,0,0,91850,2300,0,0,0,0,11150,0,0,0,5600,0,0,0,25150,12350,3450,79050,0,14000,14000,0,600,600,64000,40000,29000,0,75000,6750,0,0,0,0,0,104200,0,0,0,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,6,02JUL2019
2017,2325,"        232502",138.2262,12,01,06,15,2,01,1,4,6,6,2,30,03,0,0,52,999.6,9996,6,6,6,6,6,0,0,11510,2300,0,0,0,0,4900,0,0,0,660,0,0,0,11900,2540,1550,04,2150,0,7000,7000,0,600,600,29000,0,29000,0,0,1880,0,0,0,0,0,14050,0,0,0,0,"        2325A",2,24,2,1,2,16,15,06,0,0,91850,2300,0,0,0,0,11150,0,0,0,5600,0,0,0,25150,12350,3450,88941,79050,0,14000,14000,0,600,600,64000,40000,29000,0,75000,6750,0,0,0,0,0,104200,0,0,0,0,"        2325A01",2,03,2,1,2,16,15,06,0,0,91850,2300,0,0,0,0,11150,0,0,0,5600,0,0,0,25150,12350,3450,79050,0,14000,14000,0,600,600,64000,40000,29000,0,75000,6750,0,0,0,0,0,104200,0,0,0,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,6,02JUL2019
