YEAR,PUMFID,PERSONID,FWEIGHT,PROV,USZGAP,MBMREGP,AGEGP,SEX,MARSTP,CMPHI,HLEV2G,STUDTFP,FLLPRTP,FWORKED,SCSUM,ALFST,WKSEM,WKSUEM,WKSNLF,USHRWK,ALHRWK,FPDWK,FSEMP,FUNFW,IMMST,YRIMMG,ALIMO,ALIP,ATINC,CAPGN,CCAR,CHFED,CHPRV,CHTXB,CPQPP,CQPC,EARNG,EIPR,FDITX,GI,GSTXC,GTR,INCTX,INVA,MAJRI,MTINC,OAS,OASGI,OGOVTR,OTHINC,OTTXM,PEN,PENGIV,PENREC,PHPR,PRPEN,PVITX,PVTXC,RPPC,RSPWI,SAPIS,SEMP,TTINC,UDPD,UIBEN,WGSAL,WKRCP,EFID,EFSIZE,EFTYP,EFMJIE,EFMJIEH,EFRMJIG,EFAGOFMP,EFAGYFMP,EFMJSI,EFALIMO,EFALIP,EFATINC,EFCAPGN,EFCCAR,EFCHFED,EFCHPRV,EFCHTXB,EFCPQPP,EFCQPC,EFEARNG,EFEIPR,EFFDITX,EFGI,EFGSTXC,EFGTR,EFINCTX,EFINVA,EFMBIN18,EFMTINC,EFOAS,EFOASGI,EFOGOVTR,EFOTHINC,EFOTTXM,EFPEN,EFPENGIV,EFPENREC,EFPHPR,EFPRPEN,EFPVITX,EFPVTXC,EFRPPC,EFRSPWI,EFSAPIS,EFSEMP,EFTTINC,EFUDPD,EFUIBEN,EFWGSAL,EFWKRCP,CFID,CFSIZE,CFCOMP,CFMJIE,CFMJIEH,CFRMJIG,CFAGOFMP,CFAGYFMP,CFMJSI,CFALIMO,CFALIP,CFATINC,CFCAPGN,CFCCAR,CFCHFED,CFCHPRV,CFCHTXB,CFCPQPP,CFCQPC,CFEARNG,CFEIPR,CFFDITX,CFGI,CFGSTXC,CFGTR,CFINCTX,CFINVA,CFMTINC,CFOAS,CFOASGI,CFOGOVTR,CFOTHINC,CFOTTXM,CFPEN,CFPENGIV,CFPENREC,CFPHPR,CFPRPEN,CFPVITX,CFPVTXC,CFRPPC,CFRSPWI,CFSAPIS,CFSEMP,CFTTINC,CFUDPD,CFUIBEN,CFWGSAL,CFWKRCP,HHSIZE,HHCOMP,HHMJIE,LICODA,LICOFA,LICODB,LICOFB,LIMSDA,LIMSFA,MBSCD18,MBSCF18,DWLTYP,DWTENR,REPA,SUIT,MORTG,MORTGM,CONDMP,RENTM,RNSUB,CHNEED,FSCADLTM,FSCCHLDM,FSCHHLDM,VERDATE
2019,2138,"        213801",133.2138,12,01,04,12,2,01,1,4,6,6,1,22,04,20,32,0,20.0,400,1,2,2,2,6,0,0,44050,0,0,0,0,0,12000,0,5750,75,0,0,0,40000,0,-4600,04,4050,0,0,0,0,0,8150,0,5250,0,2900,0,0,0,0,0,0,44050,225,0,5750,28000,"        2138A",2,21,2,1,2,12,12,02,0,0,106040,0,0,0,0,0,12000,2800,60250,900,8010,0,0,51000,15010,-4600,100731,70050,0,0,0,0,0,13900,5750,5250,0,14400,7000,0,0,2000,0,-8000,121050,1525,11000,68250,28000,"        2138A01",2,03,2,1,2,12,12,02,0,0,106040,0,0,0,0,0,12000,2800,60250,900,8010,0,0,51000,15010,-4600,70050,0,0,0,0,0,13900,5750,5250,0,14400,7000,0,0,2000,0,-8000,121050,1525,11000,68250,28000,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1200,99999996,99999996,6,2,0,6,0," 06JAN2023"
2019,2138,"        213802",133.2138,12,01,04,12,1,01,1,3,6,6,1,21,04,26,26,0,55.0,1430,1,2,2,2,6,0,0,61990,0,0,0,0,0,0,2800,54500,825,8010,0,0,11000,15010,0,02,66000,0,0,0,0,0,5750,5750,0,0,11500,7000,0,0,2000,0,-8000,77000,1300,11000,62500,0,"        2138A",2,21,1,1,1,12,12,02,0,0,106040,0,0,0,0,0,12000,2800,60250,900,8010,0,0,51000,15010,-4600,100731,70050,0,0,0,0,0,13900,5750,5250,0,14400,7000,0,0,2000,0,-8000,121050,1525,11000,68250,28000,"        2138A01",2,03,1,1,1,12,12,02,0,0,106040,0,0,0,0,0,12000,2800,60250,900,8010,0,0,51000,15010,-4600,70050,0,0,0,0,0,13900,5750,5250,0,14400,7000,0,0,2000,0,-8000,121050,1525,11000,68250,28000,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1200,99999996,99999996,6,2,0,6,0," 06JAN2023"
2019,2139,"        213901",397.3175,12,01,04,15,1,01,2,1,6,6,2,30,96,96,96,96,999.6,9996,6,6,6,2,6,0,0,19750,0,0,0,0,0,8750,0,0,0,0,2900,575,19750,0,0,04,0,7250,10150,0,0,0,0,0,0,0,0,0,275,0,0,0,0,19750,0,0,0,0,"        2139A",3,43,2,1,4,15,09,02,0,0,49685,0,0,0,0,0,10850,1300,28000,525,1930,5300,1050,24925,3240,0,50711,28000,7250,12550,0,0,0,0,0,0,0,0,1310,475,0,0,0,0,52925,0,0,28000,0,"        2139A01",3,05,2,1,4,15,09,02,0,0,49685,0,0,0,0,0,10850,1300,28000,525,1930,5300,1050,24925,3240,0,28000,7250,12550,0,0,0,0,0,0,0,0,1310,475,0,0,0,0,52925,0,0,28000,0,3,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,2,1,2,99999996,99999996,99999996,6,2,0,6,0," 06JAN2023"
2019,2139,"        213902",397.3175,12,01,04,13,2,01,1,2,6,6,2,30,03,0,0,52,999.6,9996,6,6,6,2,6,0,0,4500,0,0,0,0,0,2100,0,0,0,0,2400,0,4500,0,0,04,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,"        2139A",3,43,2,1,4,15,09,02,0,0,49685,0,0,0,0,0,10850,1300,28000,525,1930,5300,1050,24925,3240,0,50711,28000,7250,12550,0,0,0,0,0,0,0,0,1310,475,0,0,0,0,52925,0,0,28000,0,"        2139A01",3,05,2,1,4,15,09,02,0,0,49685,0,0,0,0,0,10850,1300,28000,525,1930,5300,1050,24925,3240,0,28000,7250,12550,0,0,0,0,0,0,0,0,1310,475,0,0,0,0,52925,0,0,28000,0,3,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,2,1,2,99999996,99999996,99999996,6,2,0,6,0," 06JAN2023"
2019,2139,"        213903",397.3175,12,01,04,09,1,04,1,3,2,6,1,11,01,52,0,0,39.0,2028,1,2,2,2,6,0,0,25435,0,0,0,0,0,0,1300,28000,525,1930,0,475,675,3240,0,02,28000,0,0,0,0,0,0,0,0,0,0,1310,200,0,0,0,0,28675,0,0,28000,0,"        2139A",3,43,1,1,1,15,09,02,0,0,49685,0,0,0,0,0,10850,1300,28000,525,1930,5300,1050,24925,3240,0,50711,28000,7250,12550,0,0,0,0,0,0,0,0,1310,475,0,0,0,0,52925,0,0,28000,0,"        2139A01",3,05,1,1,1,15,09,02,0,0,49685,0,0,0,0,0,10850,1300,28000,525,1930,5300,1050,24925,3240,0,28000,7250,12550,0,0,0,0,0,0,0,0,1310,475,0,0,0,0,52925,0,0,28000,0,3,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,2,1,2,99999996,99999996,99999996,6,2,0,6,0," 06JAN2023"
2019,2143,"        214301",137.8722,12,05,05,15,2,03,2,1,6,6,2,30,96,96,96,96,999.6,9996,6,6,6,2,6,0,0,18925,0,0,0,0,0,0,0,0,0,0,10500,400,18650,0,275,04,275,7500,18000,0,0,0,0,0,0,0,0,0,250,0,0,0,0,18925,0,0,0,0,"        2143A",1,12,1,1,1,15,15,04,0,0,18925,0,0,0,0,0,0,0,0,0,0,10500,400,18650,0,275,18475,275,7500,18000,0,0,0,0,0,0,0,0,0,250,0,0,0,0,18925,0,0,0,0,"        2143A01",1,01,1,1,1,15,15,04,0,0,18925,0,0,0,0,0,0,0,0,0,0,10500,400,18650,0,275,275,7500,18000,0,0,0,0,0,0,0,0,0,250,0,0,0,0,18925,0,0,0,0,1,1,1,999.6,2,13.6,1,24.5,1,14.2,1,3,2,3,1,6,99999996,99999996,500,2,1,0,6,0," 06JAN2023"
2019,2168,"        216801",147.1245,12,06,06,06,2,04,1,3,2,6,2,30,06,0,4,48,999.6,9996,6,6,6,2,6,0,0,33875,0,0,12500,1100,13600,0,0,0,0,0,0,925,33875,0,0,04,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,3900,0,33875,0,15000,0,0,"        2168A",3,31,1,1,1,06,01,04,0,0,33875,0,0,12500,1100,13600,0,0,0,0,0,0,925,33875,0,0,37157,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,3900,0,33875,0,15000,0,0,"        2168A01",3,06,1,1,1,06,01,04,0,0,33875,0,0,12500,1100,13600,0,0,0,0,0,0,925,33875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,3900,0,33875,0,15000,0,0,3,2,1,999.6,2,2.7,1,22.0,1,7.0,1,1,1,1,1,1,1000,99999996,99999996,6,1,3,2,3," 06JAN2023"
2019,2168,"        216802",147.1245,12,06,06,01,2,96,6,6,6,6,6,96,96,96,96,96,999.6,9996,6,6,6,6,6,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,96,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,"        2168A",3,31,2,1,3,06,01,04,0,0,33875,0,0,12500,1100,13600,0,0,0,0,0,0,925,33875,0,0,37157,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,3900,0,33875,0,15000,0,0,"        2168A01",3,06,2,1,3,06,01,04,0,0,33875,0,0,12500,1100,13600,0,0,0,0,0,0,925,33875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,3900,0,33875,0,15000,0,0,3,2,2,999.6,2,2.7,1,22.0,1,7.0,1,1,1,1,1,1,1000,99999996,99999996,6,1,3,2,3," 06JAN2023"
2019,2168,"        216803",147.1245,12,06,06,01,2,96,6,6,6,6,6,96,96,96,96,96,999.6,9996,6,6,6,6,6,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,96,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,99999996,"        2168A",3,31,2,1,3,06,01,04,0,0,33875,0,0,12500,1100,13600,0,0,0,0,0,0,925,33875,0,0,37157,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,3900,0,33875,0,15000,0,0,"        2168A01",3,06,2,1,3,06,01,04,0,0,33875,0,0,12500,1100,13600,0,0,0,0,0,0,925,33875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,3900,0,33875,0,15000,0,0,3,2,2,999.6,2,2.7,1,22.0,1,7.0,1,1,1,1,1,1,1000,99999996,99999996,6,1,3,2,3," 06JAN2023"
2019,2171,"        217101",213.7515,12,06,06,15,2,03,2,1,6,6,2,30,96,96,96,96,999.6,9996,6,6,6,2,6,0,0,40720,0,0,0,0,0,13500,0,0,0,4740,0,0,20750,9280,0,06,29250,7250,7250,0,6250,6250,23000,0,0,0,23000,4540,0,0,0,0,0,50000,0,0,0,0,"        2171A",1,12,1,1,1,15,15,06,0,0,40720,0,0,0,0,0,13500,0,0,0,4740,0,0,20750,9280,0,38970,29250,7250,7250,0,6250,6250,23000,0,0,0,23000,4540,0,0,0,0,0,50000,0,0,0,0,"        2171A01",1,01,1,1,1,15,15,06,0,0,40720,0,0,0,0,0,13500,0,0,0,4740,0,0,20750,9280,0,29250,7250,7250,0,6250,6250,23000,0,0,0,23000,4540,0,0,0,0,0,50000,0,0,0,0,1,1,1,999.6,2,999.6,2,999.6,2,999.6,2,3,2,3,1,6,99999996,99999996,1500,2,2,0,6,0," 06JAN2023"
