YEAR,PUMFID,PERSONID,FWEIGHT,PROV,USZGAP,MBMREGP,AGEGP,SEX,MARSTP,CMPHI,HLEV2G,STUDTFP,FLLPRTP,FWORKED,SCSUM,ALFST,WKSEM,WKSUEM,WKSNLF,USHRWK,ALHRWK,FPDWK,FSEMP,IMMST,YRIMMG,ALIMO,ALIP,ATINC,BURSAR,CAPGN,CCAR,CHBEN,CHFED,CHPRV,COVTOT,CPQPP,CQPC,CWB,EARNG,EIBEN,EICON,FDITX,FRTXCR,GI,GSTXC,GTR,INCTX,INVA,MAJRI,MTINC,OAS,OASGI,OGNIE,OGTRAN,OTHINC,OTTXM,PEN,PENGIV,PENREC,PRPEN,PRSUPP,PRTXCR,PVITX,RPPC,RSPWI,SAPIS,SEMP,TTINC,UDPD,WGSAL,WKRCP,EFID,EFSIZE,EFTYP,EFMJIE,EFMJIEH,EFRMJIG,EFAGOFMP,EFAGYFMP,EFMJSI,EFALIMO,EFALIP,EFATINC,EFBURSAR,EFCAPGN,EFCCAR,EFCHBEN,EFCHFED,EFCHPRV,EFCOVTOT,EFCPQPP,EFCQPC,EFCWB,EFEARNG,EFEIBEN,EFEICON,EFFDITX,EFFRTXCR,EFGI,EFGSTXC,EFGTR,EFINCTX,EFINVA,EFMBIN18,EFMTINC,EFOAS,EFOASGI,EFOGNIE,EFOGTRAN,EFOTHINC,EFOTTXM,EFPEN,EFPENGIV,EFPENREC,EFPRPEN,EFPRSUPP,EFPRTXCR,EFPVITX,EFRPPC,EFRSPWI,EFSAPIS,EFSEMP,EFTTINC,EFUDPD,EFWGSAL,EFWKRCP,CFID,CFSIZE,CFCOMP,CFMJIE,CFMJIEH,CFRMJIG,CFAGOFMP,CFAGYFMP,CFMJSI,CFALIMO,CFALIP,CFATINC,CFBURSAR,CFCAPGN,CFCCAR,CFCHBEN,CFCHFED,CFCHPRV,CFCOVTOT,CFCPQPP,CFCQPC,CFCWB,CFEARNG,CFEIBEN,CFEICON,CFFDITX,CFFRTXCR,CFGI,CFGSTXC,CFGTR,CFINCTX,CFINVA,CFMTINC,CFOAS,CFOASGI,CFOGNIE,CFOGTRAN,CFOTHINC,CFOTTXM,CFPEN,CFPENGIV,CFPENREC,CFPRPEN,CFPRSUPP,CFPRTXCR,CFPVITX,CFRPPC,CFRSPWI,CFSAPIS,CFSEMP,CFTTINC,CFUDPD,CFWGSAL,CFWKRCP,HHSIZE,HHCOMP,HHMJIE,LICODA,LICOFA,LICODB,LICOFB,LIMSDA,LIMSFA,MBSCD18,MBSCF18,DWLTYP,DWTENR,REPA,SUIT,MORTG,MORTGM,CONDMP,RENTM,RNSUB,CHNEED,FSCADLTM,FSCCHLDM,FSCHHLDM,VISMINFL,VERDATE
2021,2129,"        212901",271.3479,12,06,06,15,1,04,9,9,6,6,2,30,96,96,96,96,999.6,9996,6,6,1,5,0,0,42365,0,1650,0,0,0,0,0,7750,0,0,0,0,0,2190,0,0,400,16675,5310,15500,04,31000,8500,8500,25,425,0,0,15500,0,0,15500,0,25,3120,0,0,0,0,47675,0,0,0,"        2129A",1,11,1,1,1,15,15,04,0,0,42365,0,1650,0,0,0,0,0,7750,0,0,0,0,0,2190,0,0,400,16675,5310,15500,42243,31000,8500,8500,25,425,0,0,15500,0,0,15500,0,25,3120,0,0,0,0,47675,0,0,0,"        2129A01",1,01,1,1,1,15,15,04,0,0,42365,0,1650,0,0,0,0,0,7750,0,0,0,0,0,2190,0,0,400,16675,5310,15500,31000,8500,8500,25,425,0,0,15500,0,0,15500,0,25,3120,0,0,0,0,47675,0,0,0,1,1,1,999.6,2,999.6,2,999.6,2,999.6,2,2,2,3,1,6,99999996,99999996,800,2,2,0,6,0,2," 28NOV2023"
2021,2136,"        213601",96.5861,12,01,04,15,1,01,1,3,6,6,2,30,96,96,96,96,999.6,9996,6,6,2,6,0,0,24575,0,0,0,0,0,0,0,8750,0,0,0,0,0,0,0,1900,250,18650,0,175,04,5925,7750,9650,0,250,0,0,5750,0,0,5750,0,0,0,0,0,0,0,24575,0,0,0,"        2136A",2,24,1,1,1,15,15,04,0,0,41125,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,3800,450,34525,0,350,43812,6600,15250,19550,25,475,0,0,6250,0,0,6250,0,25,0,0,0,0,0,41125,0,0,0,"        2136A01",2,03,1,1,1,15,15,04,0,0,41125,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,3800,450,34525,0,350,6600,15250,19550,25,475,0,0,6250,0,0,6250,0,25,0,0,0,0,0,41125,0,0,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,2,1,2,99999996,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,2136,"        213602",96.5861,12,01,04,15,2,01,2,1,6,6,2,30,96,96,96,96,999.6,9996,6,6,2,6,0,0,16550,0,0,0,0,0,0,0,5750,0,0,0,0,0,0,0,1900,200,15875,0,175,04,675,7500,9900,25,225,0,0,500,0,0,500,0,25,0,0,0,0,0,16550,0,0,0,"        2136A",2,24,2,1,2,15,15,04,0,0,41125,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,3800,450,34525,0,350,43812,6600,15250,19550,25,475,0,0,6250,0,0,6250,0,25,0,0,0,0,0,41125,0,0,0,"        2136A01",2,03,2,1,2,15,15,04,0,0,41125,0,0,0,0,0,0,0,14500,0,0,0,0,0,0,0,3800,450,34525,0,350,6600,15250,19550,25,475,0,0,6250,0,0,6250,0,25,0,0,0,0,0,41125,0,0,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,2,1,2,99999996,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,2143,"        214301",185.4959,12,01,04,12,2,04,2,1,6,6,1,21,07,1,1,50,30.0,30,1,2,2,6,0,0,26665,0,0,0,0,0,0,0,0,375,450,11000,18000,225,2000,0,0,500,19175,3510,0,04,11000,0,0,225,1175,0,0,0,0,0,0,0,225,1510,0,0,0,0,30175,0,11000,0,"        2143A",1,14,1,1,1,12,12,04,0,0,26665,0,0,0,0,0,0,0,0,375,450,11000,18000,225,2000,0,0,500,19175,3510,0,28166,11000,0,0,225,1175,0,0,0,0,0,0,0,225,1510,0,0,0,0,30175,0,11000,0,"        2143A01",1,01,1,1,1,12,12,04,0,0,26665,0,0,0,0,0,0,0,0,375,450,11000,18000,225,2000,0,0,500,19175,3510,0,11000,0,0,225,1175,0,0,0,0,0,0,0,225,1510,0,0,0,0,30175,0,11000,0,1,1,1,999.6,2,999.6,2,2.5,1,999.6,2,1,1,2,1,2,99999996,99999996,99999996,6,2,3,6,3,2," 28NOV2023"
2021,2188,"        218801",223.15,12,01,04,12,1,01,1,2,6,6,1,11,01,52,0,0,40.0,2080,1,2,2,6,0,0,71670,0,0,0,0,0,0,0,0,3200,0,95000,0,825,12550,0,0,0,0,23330,0,02,95000,0,0,0,0,0,0,0,0,0,0,0,0,10780,7000,0,0,0,95000,0,95000,0,"        2188A",2,21,1,1,1,12,10,02,0,0,120640,0,0,0,0,0,0,0,0,3225,0,97200,0,900,19210,0,0,0,0,34060,57500,112227,154700,0,0,0,0,0,0,0,0,0,0,0,0,14850,7000,0,0,-2800,154700,0,100000,0,"        2188A01",2,03,1,1,1,12,10,02,0,0,120640,0,0,0,0,0,0,0,0,3225,0,97200,0,900,19210,0,0,0,0,34060,57500,154700,0,0,0,0,0,0,0,0,0,0,0,0,14850,7000,0,0,-2800,154700,0,100000,0,2,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,2188,"        218802",223.15,12,01,04,10,2,01,1,3,2,6,1,11,01,52,0,0,40.0,2080,2,1,2,6,0,0,48970,0,0,0,0,0,0,0,0,25,0,2200,0,75,6660,0,0,0,0,10730,57500,05,59700,0,0,0,0,0,0,0,0,0,0,0,0,4070,0,0,0,-2800,59700,0,5000,0,"        2188A",2,21,2,1,2,12,10,02,0,0,120640,0,0,0,0,0,0,0,0,3225,0,97200,0,900,19210,0,0,0,0,34060,57500,112227,154700,0,0,0,0,0,0,0,0,0,0,0,0,14850,7000,0,0,-2800,154700,0,100000,0,"        2188A01",2,03,2,1,2,12,10,02,0,0,120640,0,0,0,0,0,0,0,0,3225,0,97200,0,900,19210,0,0,0,0,34060,57500,154700,0,0,0,0,0,0,0,0,0,0,0,0,14850,7000,0,0,-2800,154700,0,100000,0,2,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,2,99999996,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,2194,"        219401",224.6124,12,06,06,11,2,01,1,4,6,6,1,21,05,50,0,2,37.5,1875,1,2,2,6,0,0,40775,0,0,0,0,0,0,0,0,2900,0,55000,0,850,9160,0,0,0,0,17150,25,02,57925,0,0,0,0,2900,2900,0,0,0,0,0,0,7990,0,14500,0,0,57925,0,55000,0,"        2194A",4,23,1,1,1,11,05,02,0,0,82585,0,0,0,0,0,0,0,0,3075,400,67550,0,1075,9160,0,0,150,600,18490,30025,82651,100475,0,0,50,600,2900,2900,0,0,0,0,0,50,9330,0,14500,0,0,101075,0,67550,0,"        2194A01",4,04,1,1,1,11,05,02,0,0,82585,0,0,0,0,0,0,0,0,3075,400,67550,0,1075,9160,0,0,150,600,18490,30025,100475,0,0,50,600,2900,2900,0,0,0,0,0,50,9330,0,14500,0,0,101075,0,67550,0,4,2,1,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1900,99999996,99999996,6,2,0,6,0,9," 28NOV2023"
2021,2194,"        219402",224.6124,12,06,06,11,1,01,1,4,6,6,1,21,07,36,12,4,60.0,2160,1,2,2,6,0,0,28660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,30000,05,30000,0,0,0,0,0,0,0,0,0,0,0,0,1340,0,0,0,0,30000,0,0,0,"        2194A",4,23,2,1,2,11,05,02,0,0,82585,0,0,0,0,0,0,0,0,3075,400,67550,0,1075,9160,0,0,150,600,18490,30025,82651,100475,0,0,50,600,2900,2900,0,0,0,0,0,50,9330,0,14500,0,0,101075,0,67550,0,"        2194A01",4,04,2,1,2,11,05,02,0,0,82585,0,0,0,0,0,0,0,0,3075,400,67550,0,1075,9160,0,0,150,600,18490,30025,100475,0,0,50,600,2900,2900,0,0,0,0,0,50,9330,0,14500,0,0,101075,0,67550,0,4,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1900,99999996,99999996,6,2,0,6,0,9," 28NOV2023"
2021,2194,"        219403",224.6124,12,06,06,05,1,04,1,2,1,2,1,21,07,6,4,42,30.0,180,1,2,2,6,0,0,4900,0,0,0,0,0,0,0,0,50,400,4300,0,75,0,0,0,150,600,0,0,02,4300,0,0,50,600,0,0,0,0,0,0,0,50,0,0,0,0,0,4900,0,4300,0,"        2194A",4,23,2,1,3,11,05,02,0,0,82585,0,0,0,0,0,0,0,0,3075,400,67550,0,1075,9160,0,0,150,600,18490,30025,82651,100475,0,0,50,600,2900,2900,0,0,0,0,0,50,9330,0,14500,0,0,101075,0,67550,0,"        2194A01",4,04,2,1,3,11,05,02,0,0,82585,0,0,0,0,0,0,0,0,3075,400,67550,0,1075,9160,0,0,150,600,18490,30025,100475,0,0,50,600,2900,2900,0,0,0,0,0,50,9330,0,14500,0,0,101075,0,67550,0,4,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1900,99999996,99999996,6,2,0,6,0,9," 28NOV2023"
2021,2194,"        219404",224.6124,12,06,06,05,1,04,1,2,1,1,1,21,07,30,18,4,30.0,900,1,2,2,6,0,0,8250,0,0,0,0,0,0,0,0,125,0,8250,0,150,0,0,0,0,0,0,0,02,8250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8250,0,8250,0,"        2194A",4,23,2,1,3,11,05,02,0,0,82585,0,0,0,0,0,0,0,0,3075,400,67550,0,1075,9160,0,0,150,600,18490,30025,82651,100475,0,0,50,600,2900,2900,0,0,0,0,0,50,9330,0,14500,0,0,101075,0,67550,0,"        2194A01",4,04,2,1,3,11,05,02,0,0,82585,0,0,0,0,0,0,0,0,3075,400,67550,0,1075,9160,0,0,150,600,18490,30025,100475,0,0,50,600,2900,2900,0,0,0,0,0,50,9330,0,14500,0,0,101075,0,67550,0,4,2,2,999.6,2,999.6,2,999.6,2,999.6,2,1,1,3,1,1,1900,99999996,99999996,6,2,0,6,0,9," 28NOV2023"
2021,2195,"        219501",181.8024,12,06,06,14,1,03,1,4,6,6,2,30,03,0,0,52,999.6,9996,6,6,9,9,0,0,23030,0,13500,0,0,0,0,0,5750,0,0,125,0,0,250,0,1700,175,11775,1370,6750,04,12625,4100,5800,50,225,5750,5750,0,0,0,0,0,50,1120,0,0,0,125,24400,0,0,0,"        2195A",1,11,1,1,1,14,14,04,0,0,23030,0,13500,0,0,0,0,0,5750,0,0,125,0,0,250,0,1700,175,11775,1370,6750,27664,12625,4100,5800,50,225,5750,5750,0,0,0,0,0,50,1120,0,0,0,125,24400,0,0,0,"        2195A01",1,01,1,1,1,14,14,04,0,0,23030,0,13500,0,0,0,0,0,5750,0,0,125,0,0,250,0,1700,175,11775,1370,6750,12625,4100,5800,50,225,5750,5750,0,0,0,0,0,50,1120,0,0,0,125,24400,0,0,0,1,1,1,999.6,2,999.6,2,15.8,1,999.6,2,1,1,3,1,2,99999996,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,2216,"        221601",150.5119,12,01,04,15,2,01,1,3,6,6,2,30,96,96,96,96,999.6,9996,6,6,2,6,0,0,26925,0,0,0,0,0,0,0,10250,0,0,0,0,0,3810,0,0,0,18000,8000,925,04,16925,7750,7750,0,0,0,0,30000,0,14000,16000,0,0,4190,0,0,0,0,34925,0,0,0,"        2216A",3,41,2,1,2,15,09,06,0,0,119540,0,0,0,0,0,0,0,24050,1200,875,24000,0,425,12040,0,0,400,40725,23910,2725,115722,102725,15250,15250,150,1425,0,0,76000,14000,14000,76000,0,150,11870,0,0,0,0,143450,0,24000,0,"        2216A01",3,05,2,1,2,15,09,06,0,0,119540,0,0,0,0,0,0,0,24050,1200,875,24000,0,425,12040,0,0,400,40725,23910,2725,102725,15250,15250,150,1425,0,0,76000,14000,14000,76000,0,150,11870,0,0,0,0,143450,0,24000,0,3,2,2,999.6,2,999.6,2,999.6,2,999.6,2,9,1,1,1,2,99999996,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,2216,"        221602",150.5119,12,01,04,15,1,01,1,4,6,6,2,30,96,96,96,96,999.6,9996,6,6,2,6,0,0,65680,0,0,0,0,0,0,0,10500,0,0,0,0,0,7270,0,0,0,18000,14070,1750,06,61750,7500,7500,0,0,0,0,46000,14000,0,60000,0,0,6800,0,0,0,0,79750,0,0,0,"        2216A",3,41,1,1,1,15,09,06,0,0,119540,0,0,0,0,0,0,0,24050,1200,875,24000,0,425,12040,0,0,400,40725,23910,2725,115722,102725,15250,15250,150,1425,0,0,76000,14000,14000,76000,0,150,11870,0,0,0,0,143450,0,24000,0,"        2216A01",3,05,1,1,1,15,09,06,0,0,119540,0,0,0,0,0,0,0,24050,1200,875,24000,0,425,12040,0,0,400,40725,23910,2725,102725,15250,15250,150,1425,0,0,76000,14000,14000,76000,0,150,11870,0,0,0,0,143450,0,24000,0,3,2,1,999.6,2,999.6,2,999.6,2,999.6,2,9,1,1,1,2,99999996,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
2021,2216,"        221603",150.5119,12,01,04,09,1,04,1,3,2,6,1,21,07,39,10,3,50.0,1950,1,2,2,6,0,0,26935,0,0,0,0,0,0,0,3300,1200,875,24000,0,425,960,0,0,400,4725,1840,50,02,24050,0,0,150,1425,0,0,0,0,0,0,0,150,880,0,0,0,0,28775,0,24000,0,"        2216A",3,41,2,1,3,15,09,06,0,0,119540,0,0,0,0,0,0,0,24050,1200,875,24000,0,425,12040,0,0,400,40725,23910,2725,115722,102725,15250,15250,150,1425,0,0,76000,14000,14000,76000,0,150,11870,0,0,0,0,143450,0,24000,0,"        2216A01",3,05,2,1,3,15,09,06,0,0,119540,0,0,0,0,0,0,0,24050,1200,875,24000,0,425,12040,0,0,400,40725,23910,2725,102725,15250,15250,150,1425,0,0,76000,14000,14000,76000,0,150,11870,0,0,0,0,143450,0,24000,0,3,2,2,999.6,2,999.6,2,999.6,2,999.6,2,9,1,1,1,2,99999996,99999996,99999996,6,2,0,6,0,2," 28NOV2023"
